HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	INSDC (ENA/GenBank/DDBJ) accession	RefSeq accession
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase	15	U40347	NM_001088
HGNC:15886	Approved	AAR2	AAR2 splicing factor	25980		NM_015511
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	441376	AB181519	NM_001025357
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	441376	BC140924	NM_001025357
HGNC:20	Approved	AARS1	alanyl-tRNA synthetase 1	16	D32050	NM_001605
HGNC:49894	Approved	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	106480683		NG_043271
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	AB033096	NM_020745
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	BC004172	NM_001261434
HGNC:54994	Approved	AARSD1P1	AARSD1 pseudogene 1	117981788		NG_070706
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	AF516672	NM_181806
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	AF302110	NM_015423
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase	10157	AF229180	NM_005763
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer	284837		NR_026961
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor	26574	AF083208	NM_012138
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase	9625	AB014541	NM_004920
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1	17	S51329	
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294	KC505631	NR_131907
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase	18	L32961	NM_020686
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	19	AJ012376	NM_005502
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	20	U18235	NM_001606
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	21	U78735	NM_001089
HGNC:55707	Approved	ABCA3P1	ABCA3 pseudogene 1	342293		NG_022511
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	24	U88667	NM_000350
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5	23461	U66672	NM_018672
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6	23460	U66680	NM_080284
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7	10347	AF328787	NM_019112
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8	10351	AB020629	NM_007168
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9	10350	AF423307	NM_172386
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1	104355297		NR_126414
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10	10349	AY247065	NM_080282
HGNC:31	Approved	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	AK024359	NR_002451.2
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	26154	AF418105	NM_173076
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13	154664	AY204751	NM_152701
HGNC:34405	Approved	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	400508		NR_026675
HGNC:32972	Approved	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	DQ266102	NR_003574
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	5243	M14758	NM_000927
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	5244	M23234	NM_000443
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5	340273	U66692	NM_178559
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	AF070598	NM_005689
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7	22	AF038950	NM_004299
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8	11194	AF047690	NM_007188
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9	23457	U66676	NM_019624
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10	23456	U18237	NM_012089
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	56476	AF218417	NG_005041
HGNC:31129	Approved	ABCB10P3	ABCB10 pseudogene 3	728248		NG_022122
HGNC:31130	Approved	ABCB10P4	ABCB10 pseudogene 4	100132289		NG_022102
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	8647	AF091582	NM_003742
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	4363	L05628	NM_004996
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	1244	U63970	NM_000392
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3	8714	Y17151	NM_020038
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4	10257	U66682	NM_005845
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5	10057	AF104942	NM_005688
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1	100873982		NR_046570
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	368	AF076622	NM_001079528
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190	BC075833	NR_003569
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013		NR_023387
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	6833	L78207	NM_000352
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9	10060	AF061323	NM_005691
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10	89845	U66684	NM_033450
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11	85320	AF367202	NM_032583
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12	94160	AY040220	NM_033226
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	AF418600	NR_003087
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1	215	Z21876	NM_000033
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785	U90290	NG_001246
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983	U90288	NG_001270
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982	U90289	NG_001269
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957	U90291	NG_001265
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762		NG_006974
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	225	U28150	NM_005164
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	5825	M81182	NM_002858
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	5826	AF009746	NM_005050
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	6059	X74987	NM_002940
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	23	AF027302	NM_001025091
HGNC:53628	Approved	ABCF1-DT	ABCF1 divergent transcript	107986587		XR_001756540
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2	10061	AJ005016	NM_005692
HGNC:54751	Approved	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	114483834		NM_005692
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653		NG_022253
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059		NG_026596
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3	55324	U66685	NM_018358
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1	9619	U34919	NM_207174
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	AF103796	NM_004827
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4	64137	AJ300465	NM_022169
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5	64240	T93792	NM_022436
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8	64241	AF320294	NM_022437
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1	84696	AK093447	NM_032604
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	11057	X12433	NM_007011
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3, phospholipase	171586	AK024880	NM_001308256
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	AK022878	NM_001392009
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	51099	AF007132	NM_016006
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	AF225418	NM_020676
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8	79575	AK021805	NM_024527
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10, depalmitoylase	55347	AL713726	NM_018394
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	83451	AF217971	NM_001145364
HGNC:40012	Entry Withdrawn	ABHD11-AS2	ABHD11 antisense RNA 2			
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12, lysophospholipase	26090	AL117442	NM_015600
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	145447	BG698443	NM_001206673
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	84945	AK027812	NM_032859
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A	25864	AY358201	NM_015407
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760		NM_001316331
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B	84836	AK075112	NM_032750
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15	116236	AK056717	NM_198147
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1	104355133	CN275323	
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A, phospholipase	7920	AF129756	NM_001177515
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	140701		NM_080622
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	81926	BC020512	NM_031213
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	728917		NG_011738
HGNC:34041	Approved	ABHD17AP3	ABHD17A pseudogene 3	648359		XR_041784
HGNC:34042	Approved	ABHD17AP4	ABHD17A pseudogene 4	729495		NG_023156
HGNC:34043	Approved	ABHD17AP5	ABHD17A pseudogene 5	91219		NG_000002
HGNC:34044	Approved	ABHD17AP6	ABHD17A pseudogene 6	644988		NG_022988
HGNC:38508	Approved	ABHD17AP7	ABHD17A pseudogene 7	100133212		NG_022980
HGNC:38509	Approved	ABHD17AP8	ABHD17A pseudogene 8	647144		NG_023021
HGNC:38510	Approved	ABHD17AP9	ABHD17A pseudogene 9	100132251		NG_028293
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	51104	AF151825	NM_016014
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489		NM_021214
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	80167	AK024759	NM_001039717
HGNC:11320	Approved	ABI1	abl interactor 1	10006	U87166	NM_005470
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	326268		NG_002531
HGNC:24011	Approved	ABI2	abl interactor 2	10152	AF260261	NM_005759
HGNC:29859	Approved	ABI3	ABI family member 3	51225	AB037886	NM_016428
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein	25890	AB056106	NM_001349329
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	54942	BC015795	NM_017832
HGNC:39851	Approved	ABITRAMP1	ABITRAM pseudogene 1	390403		NG_011392
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	M14752	NM_007313
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	M14904	NM_005158
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	3983	AF005654	NM_001003407
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2	84448	AB058711	NM_001130083
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3	22885	AB020650	NM_014945
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	AF134415	NM_020469
HGNC:81	Approved	ABR	ABR activator of RhoGEF and GTPase	29	L19704	NM_001092
HGNC:55674	Approved	ABR-AS1	ABR antisense RNA 1	105371479		XR_934138
HGNC:30655	Approved	ABRA	actin binding Rho activating protein	137735	AF503617	NM_139166
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	58527	BC014953	NM_021243
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	AK023676	NM_139076
HGNC:56461	Approved	ABRAXAS1P1	ABRAXAS1 pseudogene 1	100421580		NG_025605
HGNC:56462	Approved	ABRAXAS1P2	ABRAXAS1 pseudogene 2	100133073		NG_022380
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	23172	D63877	NM_032182
HGNC:17369	Approved	ABT1	activator of basal transcription 1	29777	AB027258	NM_013375
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1	100420695		NG_025142
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1	80325	AB053324	NM_172027
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2	25841	AK056863	NM_145804
HGNC:23844	Approved	ABTB3	ankyrin repeat and BTB domain containing 3	121551	AK091276	NM_152322
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1	30	X14813	NM_001607
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2	10449	D16294	NM_006111
HGNC:55880	Approved	ACAA2P1	ACAA2 pseudogene 1	100420869		NG_026698
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	31	U19822	NM_198836
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta	32	U89344	NM_001093
HGNC:86	Entry Withdrawn	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)			
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8	27034	AF126245	NM_014384
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9	28976	AF078854	NM_014049
HGNC:56086	Approved	ACAD9-DT	ACAD9 divergent transcript	123706524		XR_007096078
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10	80724	AY323912	NM_025247
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11	84129	BC019607	NM_032169
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase long chain	33	M74096	NM_001608
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase medium chain	34	M16827	NM_000016
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase short chain	35	M26393	NM_000017
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	U12778	NM_001609
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase very long chain	37	BC012912	NM_000018
HGNC:319	Approved	ACAN	aggrecan	176	M55172	NM_001135
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	D30758	NM_014716
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527		NM_012287
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1	100874306		
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	AF411981	NM_030649
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	38	D90228	NM_000019
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2	39	AF356877	NM_005891
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	64746	AB043587	NM_022735
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1	107985353	AW511419	NR_146443
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4	79777	BC029164	NM_024722
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5	91452	AF505653	NM_145698
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6	84320	BC006505	NM_032360
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7	414149	AK095538	NM_001039844
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	AY026508	NM_032592
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110		NM_001031854
HGNC:25070	Approved	ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	AF070535	NM_022914
HGNC:2707	Approved	ACE	angiotensin I converting enzyme	1636	J04144	NM_000789
HGNC:13557	Approved	ACE2	angiotensin converting enzyme 2	59272	AF291820	NM_001371415
HGNC:56255	Approved	ACE2-DT	ACE2 divergent transcript	104798195		NR_126564
HGNC:44365	Approved	ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123		NG_016186
HGNC:18356	Approved	ACER1	alkaline ceramidase 1	125981	AF347024	NM_133492
HGNC:23675	Approved	ACER2	alkaline ceramidase 2	340485	AK123581	NM_001010887
HGNC:54674	Approved	ACER2P1	ACER2 pseudogene 1	645978		NG_030142
HGNC:16066	Approved	ACER3	alkaline ceramidase 3	55331	AF214454	NM_018367
HGNC:108	Approved	ACHE	acetylcholinesterase (Cartwright blood group)	43		NM_015831
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1	22985	AB014570	NM_014977
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	U01839	NM_002036
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	1238	U94888	NM_001296
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	57007	BC008459	NM_020311
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4	51554	AF110640	NM_016557
HGNC:21142	Approved	ACKR4P1	ACKR4 pseudogene 1	285737		XM_208346
HGNC:114	Entry Withdrawn	ACLS	acrocallosal syndrome			
HGNC:115	Approved	ACLY	ATP citrate lyase	47	X64330	NM_001096
HGNC:116	Entry Withdrawn	ACMG	acromegaly			
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	AB071418	NM_001307983
HGNC:34504	Approved	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	347275		NG_023464
HGNC:117	Approved	ACO1	aconitase 1	48	M58510	NM_002197
HGNC:118	Approved	ACO2	aconitase 2	50	AH006514	NM_001098
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1	730249		NM_001258406
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1	641371	DQ082754	NM_001037161
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2	10965	AY005822	NM_006821
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2	10965	AK001939	NM_006821
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4	122970	BC031799	NM_152331
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	641372	DQ082756	NM_001037162
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	641372	BF109853	NM_001037162
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7	11332	AB074417	NM_007274
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8	10005	AF014404	NM_183386
HGNC:17152	Approved	ACOT9	acyl-CoA thioesterase 9	23597	AF132950	NM_012332
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11	26027	AB014607	NM_015547
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12	134526	AB078619	NM_130767
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13	55856	AF220186	NM_018473
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1	51	U03254	NM_001185039
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2	8309	X95190	NM_003500
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	Y11411	NM_001101667
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like	55289		NM_018308
HGNC:41112	Approved	ACOXL-AS1	ACOXL antisense RNA 1	400997		NR_122074
HGNC:122	Approved	ACP1	acid phosphatase 1	52	M87546	NM_004300
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal	53	X15525	NM_001610
HGNC:125	Approved	ACP3	acid phosphatase 3	55		NM_001099
HGNC:14376	Approved	ACP4	acid phosphatase 4	93650	AF321918	NM_033068
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant	54	X14618	NM_001111034
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic	51205	BC009965	NM_016361
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928		NM_001004318
HGNC:126	Approved	ACR	acrosin	49	CR456366	NM_001097
HGNC:17195	Approved	ACRBP	acrosin binding protein	84519	AB051833	NM_032489
HGNC:54745	Approved	ACRP1	ACR pseudogene 1	645529		NG_021518
HGNC:127	Approved	ACRV1	acrosomal vesicle protein 1	56	AK223335	NM_001612
HGNC:29567	Approved	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	AB014531	NM_015162
HGNC:24174	Approved	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616		NM_030924
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2	80221	AK024573	NM_025149
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2	80221	BC012053	NM_025149
HGNC:27288	Approved	ACSF3	acyl-CoA synthetase family member 3	197322	AK075499	NM_174917
HGNC:3569	Approved	ACSL1	acyl-CoA synthetase long chain family member 1	2180	BC026290	NM_001995
HGNC:3570	Approved	ACSL3	acyl-CoA synthetase long chain family member 3	2181	D89053	NM_004457
HGNC:40227	Approved	ACSL3-AS1	ACSL3 antisense RNA 1	105373904	DB074600	XR_923949
HGNC:56529	Approved	ACSL3P1	ACSL3 pseudogene 1	100421637		NG_025745
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4	2182	BC034959	NM_004458
HGNC:16526	Approved	ACSL5	acyl-CoA synthetase long chain family member 5	51703	AB033899	NM_016234
HGNC:16496	Approved	ACSL6	acyl-CoA synthetase long chain family member 6	23305	AB020644	NM_015256
HGNC:40772	Approved	ACSL6-AS1	ACSL6 antisense RNA 1	101927693		XR_246584
HGNC:18049	Approved	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	AB059429	NM_052956
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	AK091878	NM_001308172
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	AK096039	NM_001308172
HGNC:30931	Approved	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	AY160217	NM_182617
HGNC:10522	Approved	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	D16350	NM_005622
HGNC:32016	Approved	ACSM4	acyl-CoA synthetase medium chain family member 4	341392		NM_001080454
HGNC:26060	Approved	ACSM5	acyl-CoA synthetase medium chain family member 5	54988		NM_017888
HGNC:51295	Approved	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779		NG_026352
HGNC:31665	Approved	ACSM6	acyl-CoA synthetase medium chain family member 6	142827		NM_207321
HGNC:16091	Approved	ACSS1	acyl-CoA synthetase short chain family member 1	84532		NM_032501
HGNC:15814	Approved	ACSS2	acyl-CoA synthetase short chain family member 2	55902	AF263614	NM_018677
HGNC:24723	Approved	ACSS3	acyl-CoA synthetase short chain family member 3	79611		NM_024560
HGNC:129	Approved	ACTA1	actin alpha 1, skeletal muscle	58	J00068	NM_001100
HGNC:130	Approved	ACTA2	actin alpha 2, smooth muscle	59	X13839	NM_001613
HGNC:45169	Approved	ACTA2-AS1	ACTA2 antisense RNA 1	100132116	AK093340	NR_125373
HGNC:45169	Approved	ACTA2-AS1	ACTA2 antisense RNA 1	100132116	AX748062	NR_125373
HGNC:132	Approved	ACTB	actin beta	60	M28424	NM_001101
HGNC:17780	Approved	ACTBL2	actin beta like 2	345651		NM_001017992
HGNC:134	Approved	ACTBP1	ACTB pseudogene 1	643309		NG_022596
HGNC:135	Approved	ACTBP2	ACTB pseudogene 2	62		NG_003019
HGNC:136	Approved	ACTBP3	ACTB pseudogene 3	63		NG_016990
