gene_id,HGNC ID_x,Status,Approved symbol,Approved name,INSDC (ENA/GenBank/DDBJ) accession,HGNC ID_y,RefSeq accession
AB049127,HGNC:13538,Approved,MARK4,microtubule affinity regulating kinase 4,AB049127,,
AB049944,,,,,,,
AB050855,,,,,,,
AB050856,,,,,,,
AB051390,,,,,,,
AB059408,,,,,,,
AF000017,,,,,,,
AF000992,HGNC:12637,Approved,KDM6A,lysine demethylase 6A,AF000992,,
AF000994,HGNC:12638,Approved,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",AF000994,,
AF001307,HGNC:700,Approved,ARNT,aryl hydrocarbon receptor nuclear translocator,AF001307,,
AF001434,,,,,,,
AF004231,,,,,,,
AF004711,HGNC:6277,Approved,KCNK2,potassium two pore domain channel subfamily K member 2,AF004711,,
AF005068,,,,,,,
AF006011,HGNC:3084,Approved,DVL1,dishevelled segment polarity protein 1,AF006011,,
AF006516,,,,,,,
AF006751,,,,,,,
AF007156,,,,,,,
AF008442,HGNC:20194,Approved,POLR1C,RNA polymerase I and III subunit C,AF008442,,
AF008915,HGNC:3501,Approved,EVI5,ecotropic viral integration site 5,AF008915,,
AF009634,,,,,,,
AF009635,,,,,,,
AF009961,,,,,,,
AF010144,,,,,,,
AF010446,HGNC:4975,Approved,MR1,"major histocompatibility complex, class I-related",AF010446,,
AF010447,,,,,,,
AF011390,,,,,,,
AF013168,HGNC:12362,Approved,TSC1,TSC complex subunit 1,AF013168,,
AF013261,,,,,,,
AF015593,,,,,,,
AF016266,,,,,,,
AF019214,,,,,,,
AF022229,,,,,,,
AF022655,HGNC:1859,Approved,CEP250,centrosomal protein 250,AF022655,,
AF022859,,,,,,,
AF022913,HGNC:8965,Approved,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,AF022913,,
AF022991,,,,,,,
AF025304,HGNC:3393,Approved,EPHB2,EPH receptor B2,AF025304,,
AF025529,,,,,,,
AF026132,,,,,,,
AF026199,,,,,,,
AF026397,,,,,,,
AF027706,,,,,,,
AF028785,,,,,,,
AF028825,,,,,,,
AF029669,,,,,,,
AF029778,,,,,,,
AF030107,HGNC:9995,Approved,RGS13,regulator of G protein signaling 13,AF030107,,
AF030111,,,,,,,
AF030626,,,,,,,
AF031463,,,,,,,
AF031469,,,,,,,
AF031824,,,,,,,
AF031924,HGNC:956,Approved,BARX2,BARX homeobox 2,AF031924,,
AF032105,,,,,,,
AF034374,,,,,,,
AF035528,,,,,,,
AF035621,,,,,,,
AF035737,,,,,,,
AF037261,,,,,,,
AF037448,HGNC:16918,Approved,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein,AF037448,,
AF038661,,,,,,,
AF039196,HGNC:5172,Approved,HR,HR lysine demethylase and nuclear receptor corepressor,AF039196,,
AF039217,HGNC:17870,Approved,INVS,inversin,AF039217,,
AF040105,HGNC:21218,Approved,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,AF040105,,
AF040723,HGNC:4812,Approved,HAP1,huntingtin associated protein 1,AF040723,,
AF041432,HGNC:19942,Approved,TRAPPC3,trafficking protein particle complex subunit 3,AF041432,,
AF042386,,,,,,,
AF044253,,,,,,,
AF047004,,,,,,,
AF047033,,,,,,,
AF047190,,,,,,,
AF051151,,,,,,,
AF051782,,,,,,,
AF053641,,,,,,,
AF053755,,,,,,,
AF053970,,,,,,,
AF054589,HGNC:28870,Approved,MDFIC,MyoD family inhibitor domain containing,AF054589,,
AF054816,HGNC:1704,Approved,CD84,CD84 molecule,AF054816,,
AF054817,,,,,,,
AF055078,,,,,,,
AF055585,HGNC:11086,Approved,SLIT2,slit guidance ligand 2,AF055585,,
AF055993,HGNC:10532,Approved,SAP30,Sin3A associated protein 30,AF055993,,
AF055994,,,,,,,
AF056085,,,,,,,
AF056979,,,,,,,
AF057036,HGNC:2226,Approved,COLQ,collagen like tail subunit of asymmetric acetylcholinesterase,AF057036,,
AF057354,,,,,,,
AF059203,HGNC:11178,Approved,SOAT2,sterol O-acyltransferase 2,AF059203,,
AF061056,HGNC:7968,Approved,NR1I2,nuclear receptor subfamily 1 group I member 2,AF061056,,
AF061512,,,,,,,
AF062006,HGNC:4504,Approved,LGR5,leucine rich repeat containing G protein-coupled receptor 5,AF062006,,
AF063002,,,,,,,
AF063020,,,,,,,
AF063591,,,,,,,
AF064243,,,,,,,
AF064801,HGNC:17023,Approved,RNF139,ring finger protein 139,AF064801,,
AF065214,HGNC:9037,Approved,PLA2G4C,phospholipase A2 group IVC,AF065214,,
AF065389,,,,,,,
AF067864,,,,,,,
AF068846,,,,,,,
AF068892,,,,,,,
AF070558,,,,,,,
AF072132,,,,,,,
AF072242,HGNC:6917,Approved,MBD2,methyl-CpG binding domain protein 2,AF072242,,
AF072718,,,,,,,
AF073299,,,,,,,
AF073310,,,,,,,
AF073745,,,,,,,
AF073890,,,,,,,
AF073921,,,,,,,
AF074331,,,,,,,
AF074382,HGNC:5961,Approved,IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,AF074382,,
AF074393,HGNC:10434,Approved,RPS6KA5,ribosomal protein S6 kinase A5,AF074393,,
AF076215,HGNC:9455,Approved,PROP1,PROP paired-like homeobox 1,AF076215,,
AF077953,HGNC:17311,Approved,PIAS2,protein inhibitor of activated STAT 2,AF077953,,
AF077954,,,,,,,
AF077973,,,,,,,
AF079363,HGNC:11215,Approved,SPAG6,sperm associated antigen 6,AF079363,,
AF079564,HGNC:12618,Approved,USP2,ubiquitin specific peptidase 2,AF079564,,
AF080216,,,,,,,
AF080255,,,,,,,
AF081258,HGNC:1811,Approved,CDYL,chromodomain Y like,AF081258,,
AF081567,,,,,,,
AF082185,,,,,,,
AF082283,,,,,,,
AF083389,,,,,,,
AF084520,HGNC:15772,Approved,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,AF084520,,
AF087847,HGNC:4068,Approved,GABARAPL1,GABA type A receptor associated protein like 1,AF087847,,
AF087853,,,,,,,
AF087942,HGNC:4699,Approved,GYG1,glycogenin 1,AF087942,,
AF089868,,,,,,,
AF090117,,,,,,,
AF090891,,,,,,,
AF090895,,,,,,,
AF091081,,,,,,,
AF091395,HGNC:12303,Approved,TRIO,trio Rho guanine nucleotide exchange factor,AF091395,,
AF091453,,,,,,,
AF091627,,,,,,,
AF094508,,,,,,,
AF095192,HGNC:938,Approved,BAG2,BAG cochaperone 2,AF095192,,
AF095771,,,,,,,
AF097159,,,,,,,
AF098518,,,,,,,
AF098641,,,,,,,
AF101434,HGNC:12768,Approved,NELFA,negative elongation factor complex member A,AF101434,,
AF101477,,,,,,,
AF102988,,,,,,,
AF104013,,,,,,,
AF104913,,,,,,,
AF105421,,,,,,,
AF106069,,,,,,,
AF106861,,,,,,,
AF107405,,,,,,,
AF107619,,,,,,,
AF109683,,,,,,,
AF110020,,,,,,,
AF112345,,,,,,,
AF113009,,,,,,,
AF113129,,,,,,,
AF113514,HGNC:17582,Approved,KAT6B,lysine acetyltransferase 6B,AF113514,,
AF115544,,,,,,,
AF116771,,,,,,,
AF119230,,,,,,,
AF119662,,,,,,,
AF119833,,,,,,,
AF119888,,,,,,,
AF120274,,,,,,,
AF120491,,,,,,,
AF123538,,,,,,,
AF123539,,,,,,,
AF124491,HGNC:4273,Approved,GIT2,GIT ArfGAP 2,AF124491,,
AF126181,,,,,,,
AF126966,,,,,,,
AF130051,,,,,,,
AF130099,,,,,,,
AF132204,,,,,,,
AF132818,,,,,,,
AF133298,HGNC:2648,Approved,CYP4F8,cytochrome P450 family 4 subfamily F member 8,AF133298,,
AF141347,HGNC:20766,Approved,TUBA1A,tubulin alpha 1a,AF141347,,
AF142418,,,,,,,
AF142481,,,,,,,
AF142482,,,,,,,
AF143679,,,,,,,
AF145029,HGNC:17103,Approved,TNPO3,transportin 3,AF145029,,
AF145439,,,,,,,
AF145712,,,,,,,
AF146074,,,,,,,
AF147782,,,,,,,
AF151056,,,,,,,
AF152308,,,,,,,
AF152318,HGNC:8696,Approved,PCDHGA1,"protocadherin gamma subfamily A, 1",AF152318,,
AF152863,HGNC:15922,Approved,REM1,RRAD and GEM like GTPase 1,AF152863,,
AF153820,,,,,,,
AF153821,HGNC:250,Approved,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",AF153821,,
AF153882,HGNC:16501,Approved,PDLIM4,PDZ and LIM domain 4,AF153882,,
AF154005,,,,,,,
AF154830,HGNC:2323,Approved,CPS1,carbamoyl-phosphate synthase 1,AF154830,,
AF155382,,,,,,,
AF156932,,,,,,,
AF157323,,,,,,,
AF159567,,,,,,,
AF162428,,,,,,,
AF163473,,,,,,,
AF164142,,,,,,,
AF166327,,,,,,,
AF166329,,,,,,,
AF174394,,,,,,,
AF176379,,,,,,,
AF181985,,,,,,,
AF182198,,,,,,,
AF182199,,,,,,,
AF182645,,,,,,,
AF183421,,,,,,,
AF185696,HGNC:8503,Approved,OSBP,oxysterol binding protein,AF185696,,
AF186773,,,,,,,
AF188747,,,,,,,
AF189723,,,,,,,
AF191492,HGNC:24158,Approved,SND1-IT1,SND1 intronic transcript 1,AF191492,,
AF195514,,,,,,,
AF195530,,,,,,,
AF196185,,,,,,,
AF196186,,,,,,,
AF201942,,,,,,,
AF202063,HGNC:3691,Approved,FGFR4,fibroblast growth factor receptor 4,AF202063,,
AF202635,,,,,,,
AF205218,,,,,,,
AF208043,,,,,,,
AF208967,,,,,,,
AF209929,,,,,,,
AF210651,,,,,,,
AF211189,,,,,,,
AF216962,HGNC:103,Approved,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,AF216962,,
AF217289,HGNC:1760,Approved,CDH20,cadherin 20,AF217289,,
AF220028,,,,,,,
AF220152,,,,,,,
AF220153,,,,,,,
AF220532,,,,,,,
AF221098,,,,,,,
AF222711,,,,,,,
AF225985,,,,,,,
AF227750,,,,,,,
AF229796,,,,,,,
AF231056,,,,,,,
AF231124,HGNC:11251,Approved,SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1",AF231124,,
AF234262,,,,,,,
AF244129,,,,,,,
AF245447,HGNC:18859,Approved,SPHK2,sphingosine kinase 2,AF245447,,
AF245505,HGNC:7539,Approved,MXRA5,matrix remodeling associated 5,AF245505,,
AF247704,,,,,,,
AF250226,,,,,,,
AF251059,HGNC:18889,Approved,STYK1,serine/threonine/tyrosine kinase 1,AF251059,,
AF258341,HGNC:9208,Approved,POR,cytochrome p450 oxidoreductase,AF258341,,
AF260261,HGNC:24011,Approved,ABI2,abl interactor 2,AF260261,,
AF261091,,,,,,,
AF261137,,,,,,,
AF269167,,,,,,,
AF273049,,,,,,,
AF280110,,,,,,,
AF280111,,,,,,,
AF280113,,,,,,,
AF280547,,,,,,,
AF283325,,,,,,,
AF283769,,,,,,,
AF284095,HGNC:281,Approved,ADRA2A,adrenoceptor alpha 2A,AF284095,,
AF285758,HGNC:6215,Approved,KARS1,lysyl-tRNA synthetase 1,AF285758,,
AF286598,,,,,,,
AF288389,HGNC:16790,Approved,COLGALT2,collagen beta(1-O)galactosyltransferase 2,AF288389,,
AF288391,HGNC:16784,Approved,NIBAN1,niban apoptosis regulator 1,AF288391,,
AF288395,HGNC:16789,Approved,NMNAT2,nicotinamide nucleotide adenylyltransferase 2,AF288395,,
AF288571,,,,,,,
AF304370,HGNC:14198,Approved,ELAC2,elaC ribonuclease Z 2,AF304370,,
AF305239,,,,,,,
AF307080,,,,,,,
AF308298,,,,,,,
AF309082,,,,,,,
AF310105,,,,,,,
AF311312,HGNC:11212,Approved,SPAG1,sperm associated antigen 1,AF311312,,
AF312230,HGNC:17383,Approved,HRH4,histamine receptor H4,AF312230,,
AF314090,,,,,,,
AF318616,,,,,,,
AF320070,,,,,,,
AF323540,,,,,,,
AF324888,,,,,,,
AF327066,,,,,,,
AF327443,HGNC:1515,Approved,CAST,calpastatin,AF327443,,
AF333334,,,,,,,
AF333388,HGNC:31864,Approved,MT1HL1,metallothionein 1H like 1,AF333388,,
AF334812,HGNC:24845,Approved,RAB11FIP5,RAB11 family interacting protein 5,AF334812,,
AF334946,,,,,,,
AF338730,,,,,,,
AF348700,,,,,,,
AF349444,,,,,,,
AF349719,,,,,,,
AF349720,,,,,,,
AF349939,,,,,,,
AF352832,,,,,,,
AF353990,HGNC:24142,Approved,TM2D1,TM2 domain containing 1,AF353990,,
AF353992,,,,,,,
AF354444,,,,,,,
AF360549,HGNC:20473,Approved,BRIP1,BRCA1 interacting helicase 1,AF360549,,
AJ000388,,,,,,,
AJ133127,,,,,,,
AJ223333,HGNC:2977,Approved,TRDMT1,tRNA aspartic acid methyltransferase 1,AJ223333,,
AK000001,HGNC:23368,Approved,MVB12B,multivesicular body subunit 12B,AK000001,,
AK000003,,,,,,,
AK000089,,,,,,,
AK000220,,,,,,,
AK000550,,,,,,,
AK001574,,,,,,,
AK001861,,,,,,,
AK001970,,,,,,,
AK002054,,,,,,,
AK002200,,,,,,,
AK021533,,,,,,,
AK021738,,,,,,,
AK021842,,,,,,,
AK021929,,,,,,,
AK022213,,,,,,,
AK022215,HGNC:20271,Approved,NGDN,neuroguidin,AK022215,,
AK022481,,,,,,,
AK022697,,,,,,,
AK023116,,,,,,,
AK023365,,,,,,,
AK023845,,,,,,,
AK024259,,,,,,,
AK024971,,,,,,,
AK025301,,,,,,,
AK026607,,,,,,,
AK026712,,,,,,,
AK027000,,,,,,,
AK027005,,,,,,,
AL050253,HGNC:10763,Approved,SEZ6L,seizure related 6 homolog like,AL050253,,
AL050370,,,,,,,
AL050391,,,,,,,
AL110191,,,,,,,
AL110225,,,,,,,
AL133024,,,,,,,
AL133620,,,,,,,
AL136545,,,,,,,
AL136808,,,,,,,
AL136892,,,,,,,
AL137703,,,,,,,
AL137706,,,,,,,
AL162047,,,,,,,
AY007126,,,,,,,
AY007239,HGNC:21063,Approved,MOXD1,monooxygenase DBH like 1,AY007239,,
AY008268,,,,,,,
AY008372,,,,,,,
AY009093,,,,,,,
AY013295,,,,,,,
AY014180,,,,,,,
AY026505,,,,,,,
AY027523,,,,,,,
AY028424,,,,,,,
AY028896,,,,,,,
BC000039,HGNC:23493,Approved,CALHM2,calcium homeostasis modulator family member 2,BC000039,,
BC000052,,,,,,,
BC000055,,,,,,,
BC000103,,,,,,,
BC000120,,,,,,,
BC000143,,,,,,,
BC000147,,,,,,,
BC000149,,,,,,,
BC000189,,,,,,,
BC000212,,,,,,,
BC000213,,,,,,,
BC000232,HGNC:30077,Approved,REEP5,receptor accessory protein 5,BC000232,,
BC000233,HGNC:4394,Approved,GNAT2,G protein subunit alpha transducin 2,BC000233,,
BC000249,HGNC:8786,Approved,PDE6B,phosphodiesterase 6B,BC000249,,
BC000251,,,,,,,
BC000258,,,,,,,
BC000323,,,,,,,
BC000355,,,,,,,
BC000408,,,,,,,
BC000460,,,,,,,
BC000467,,,,,,,
BC000473,,,,,,,
BC000478,,,,,,,
BC000576,,,,,,,
BC000658,,,,,,,
BC000665,,,,,,,
BC000723,,,,,,,
BC000729,,,,,,,
BC000747,,,,,,,
BC000899,,,,,,,
BC000905,,,,,,,
BC000915,,,,,,,
BC000931,,,,,,,
BC000961,,,,,,,
BC000979,,,,,,,
BC000988,HGNC:28770,Approved,LINC00260,long intergenic non-protein coding RNA 260,BC000988,,
BC001060,,,,,,,
BC001072,,,,,,,
BC001080,,,,,,,
BC001121,,,,,,,
BC001123,,,,,,,
BC001152,,,,,,,
BC001188,,,,,,,
BC001211,HGNC:6326,Approved,KIFC3,kinesin family member C3,BC001211,,
BC001217,,,,,,,
BC001259,,,,,,,
BC001283,,,,,,,
BC001286,,,,,,,
BC001292,,,,,,,
BC001298,,,,,,,
BC001304,,,,,,,
BC001305,,,,,,,
BC001338,,,,,,,
BC001356,HGNC:5399,Approved,IFI35,interferon induced protein 35,BC001356,,
BC001364,,,,,,,
BC001387,,,,,,,
BC001416,,,,,,,
BC001422,,,,,,,
BC001430,,,,,,,
BC001433,,,,,,,
BC001441,,,,,,,
BC001449,,,,,,,
BC001595,,,,,,,
BC001606,HGNC:7661,Approved,NCF2,neutrophil cytosolic factor 2,BC001606,,
BC001619,,,,,,,
BC001648,,,,,,,
BC001650,,,,,,,
BC001651,,,,,,,
BC001659,,,,,,,
BC001671,,,,,,,
BC001686,,,,,,,
BC001689,,,,,,,
BC001698,,,,,,,
BC001709,HGNC:29831,Approved,NADK,NAD kinase,BC001709,,
BC001738,,,,,,,
BC001765,,,,,,,
BC001766,,,,,,,
BC001771,,,,,,,
BC001777,HGNC:5144,Approved,HPCA,hippocalcin,BC001777,,
BC001787,,,,,,,
BC001808,,,,,,,
BC001851,,,,,,,
BC001866,,,,,,,
BC001903,,,,,,,
BC001906,,,,,,,
BC001971,,,,,,,
BC002356,HGNC:8043,Approved,NUCB1,nucleobindin 1,BC002356,,
BC002387,,,,,,,
BC002397,,,,,,,
BC002439,,,,,,,
BC002446,,,,,,,
BC002447,,,,,,,
BC002448,,,,,,,
BC002461,,,,,,,
BC002506,,,,,,,
BC002513,,,,,,,
BC002538,,,,,,,
BC002545,,,,,,,
BC002558,,,,,,,
BC002600,,,,,,,
BC002642,,,,,,,
BC002665,,,,,,,
BC002669,,,,,,,
BC002694,HGNC:25944,Approved,MED18,mediator complex subunit 18,BC002694,,
BC002700,,,,,,,
BC002704,,,,,,,
BC002710,,,,,,,
BC002712,HGNC:7559,Approved,MYCN,"MYCN proto-oncogene, bHLH transcription factor",BC002712,,
BC002748,HGNC:26050,Approved,TMEM70,transmembrane protein 70,BC002748,,
BC002763,,,,,,,
BC002772,,,,,,,
BC002775,,,,,,,
BC002792,,,,,,,
BC002794,,,,,,,
BC002796,,,,,,,
BC002817,HGNC:28662,Approved,DOHH,deoxyhypusine hydroxylase,BC002817,,
BC002842,,,,,,,
BC002844,,,,,,,
BC002888,,,,,,,
BC002906,,,,,,,
BC002934,,,,,,,
BC002979,,,,,,,
BC003087,,,,,,,
BC003092,,,,,,,
BC003129,,,,,,,
BC003154,,,,,,,
BC003170,HGNC:29877,Approved,UBAP2L,ubiquitin associated protein 2 like,BC003170,,
BC003179,,,,,,,
BC003375,,,,,,,
BC003376,,,,,,,
BC003388,,,,,,,
BC003503,,,,,,,
BC003541,HGNC:19868,Approved,DOK4,docking protein 4,BC003541,,
BC003542,,,,,,,
BC003556,,,,,,,
BC003560,,,,,,,
BC003582,,,,,,,
BC003615,,,,,,,
BC004105,,,,,,,
BC004145,,,,,,,
BC004170,,,,,,,
BC004185,,,,,,,
BC004191,,,,,,,
BC004207,,,,,,,
BC004239,,,,,,,
BC004300,,,,,,,
BC004369,,,,,,,
BC004372,,,,,,,
BC004399,,,,,,,
BC004421,,,,,,,
BC004443,,,,,,,
BC004490,,,,,,,
BC004492,,,,,,,
BC004517,,,,,,,
BC004523,,,,,,,
BC004817,,,,,,,
BC004864,,,,,,,
BC004877,,,,,,,
BC004892,,,,,,,
BC004930,,,,,,,
BC004949,HGNC:20768,Approved,TUBA1C,tubulin alpha 1c,BC004949,,
BC004998,,,,,,,
BC005008,,,,,,,
BC005020,,,,,,,
BC005035,HGNC:9778,Approved,RAB3B,"RAB3B, member RAS oncogene family",BC005035,,
BC005047,,,,,,,
BC005122,,,,,,,
BC005123,,,,,,,
BC005124,,,,,,,
BC005127,,,,,,,
BC005136,,,,,,,
BC005196,,,,,,,
BC005220,,,,,,,
BC005230,,,,,,,
BC005233,,,,,,,
BC005250,,,,,,,
BC005319,,,,,,,
BC005338,,,,,,,
BC005354,,,,,,,
BC005383,,,,,,,
BC005395,,,,,,,
BC005407,,,,,,,
BC005830,,,,,,,
BC005844,,,,,,,
BC005868,,,,,,,
BC005872,,,,,,,
BC005876,,,,,,,
BC005882,,,,,,,
BC005894,HGNC:3770,Approved,FMO2,flavin containing dimethylaniline monoxygenase 2,BC005894,,
BC005902,,,,,,,
BC005916,,,,,,,
BC005922,,,,,,,
BC005926,,,,,,,
BC005930,HGNC:1688,Approved,CD58,CD58 molecule,BC005930,,
BC005934,,,,,,,
BC005954,,,,,,,
BC005956,,,,,,,
BC005957,,,,,,,
BC005974,,,,,,,
BC005995,HGNC:28226,Approved,GINS4,GINS complex subunit 4,BC005995,,
BC006088,,,,,,,
BC006101,,,,,,,
BC006114,,,,,,,
BC006118,,,,,,,
BC006122,,,,,,,
BC006141,,,,,,,
BC006155,,,,,,,
BC006229,HGNC:2269,Approved,COX5B,cytochrome c oxidase subunit 5B,BC006229,,
BC006230,,,,,,,
BC006233,,,,,,,
BC006249,HGNC:4693,Approved,GUK1,guanylate kinase 1,BC006249,,
BC006252,,,,,,,
BC006301,,,,,,,
BC006356,,,,,,,
BC006403,,,,,,,
BC006422,,,,,,,
BC006434,HGNC:25753,Approved,MAP6D1,MAP6 domain containing 1,BC006434,,
D10537,,,,,,,
D10583,,,,,,,
D12502,,,,,,,
D14134,,,,,,,
D14689,,,,,,,
D14826,,,,,,,
D14827,,,,,,,
D16217,,,,,,,
D21089,,,,,,,
D25547,,,,,,,
D26309,HGNC:6613,Approved,LIMK1,LIM domain kinase 1,D26309,,
D26351,HGNC:6182,Approved,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3",D26351,,
D26480,,,,,,,
D28114,,,,,,,
D28124,,,,,,,
D29805,,,,,,,
D29832,,,,,,,
D31661,,,,,,,
D32051,,,,,,,
D32201,,,,,,,
D32202,,,,,,,
D38122,,,,,,,
D38298,,,,,,,
D38299,,,,,,,
D38300,,,,,,,
D38616,,,,,,,
D50134,HGNC:6266,Approved,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,D50134,,
D55696,HGNC:9472,Approved,LGMN,legumain,D55696,,
D79987,HGNC:16856,Approved,ESPL1,"extra spindle pole bodies like 1, separase",D79987,,
D79998,,,,,,,
D80000,,,,,,,
D82346,,,,,,,
D83243,,,,,,,
D84105,,,,,,,
D84454,,,,,,,
D86227,,,,,,,
D86358,HGNC:10875,Approved,SIGLEC6,sialic acid binding Ig like lectin 6,D86358,,
D86962,,,,,,,
D87291,,,,,,,
D87328,,,,,,,
D87914,,,,,,,
D87920,,,,,,,
D89377,,,,,,,
D89729,,,,,,,
D90453,,,,,,,
J02923,,,,,,,
J03202,HGNC:6492,Approved,LAMC1,laminin subunit gamma 1,J03202,,
J03241,,,,,,,
J03250,,,,,,,
J03553,,,,,,,
J03580,,,,,,,
J03620,,,,,,,
J03925,HGNC:6149,Approved,ITGAM,integrin subunit alpha M,J03925,,
J04177,HGNC:2186,Approved,COL11A1,collagen type XI alpha 1 chain,J04177,,
J04449,,,,,,,
J04564,,,,,,,
J04948,HGNC:441,Approved,ALPG,"alkaline phosphatase, germ cell",J04948,,
J05594,,,,,,,
K03122,,,,,,,
L02547,,,,,,,
L02840,,,,,,,
L03380,,,,,,,
L04636,,,,,,,
L11238,HGNC:4443,Approved,GP5,glycoprotein V platelet,L11238,,
L11702,,,,,,,
L12387,,,,,,,
L12468,HGNC:3355,Approved,ENPEP,glutamyl aminopeptidase,L12468,,
L12711,,,,,,,
L13852,,,,,,,
L13857,HGNC:11187,Approved,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,L13857,,
L14754,HGNC:5542,Approved,IGHMBP2,immunoglobulin mu DNA binding protein 2,L14754,,
L17075,HGNC:175,Approved,ACVRL1,activin A receptor like type 1,L17075,,
L18887,HGNC:1473,Approved,CANX,calnexin,L18887,,
L20433,,,,,,,
L20965,,,,,,,
L21181,,,,,,,
L24959,,,,,,,
L26494,HGNC:9214,Approved,POU3F1,POU class 3 homeobox 1,L26494,,
L27489,,,,,,,
L29126,HGNC:1944,Approved,CHN2,chimerin 2,L29126,,
L35594,,,,,,,
L35848,HGNC:7317,Approved,MS4A3,membrane spanning 4-domains A3,L35848,,
L38019,,,,,,,
L38969,HGNC:11787,Approved,THBS3,thrombospondin 3,L38969,,
L39833,,,,,,,
L41939,,,,,,,
L41944,,,,,,,
L43578,,,,,,,
M13994,,,,,,,
M14333,,,,,,,
M17755,,,,,,,
M19154,HGNC:11768,Approved,TGFB2,transforming growth factor beta 2,M19154,,
M21121,,,,,,,
M21191,HGNC:416,Approved,ALDOAP2,ALDOA pseudogene 2,M21191,,
M21535,,,,,,,
M23254,,,,,,,
M24915,,,,,,,
M25269,HGNC:3321,Approved,ELK1,ETS transcription factor ELK1,M25269,,
M28825,HGNC:1634,Approved,CD1A,CD1a molecule,M28825,,
M29550,,,,,,,
M29873,,,,,,,
M30262,,,,,,,
M30601,,,,,,,
M31008,,,,,,,
M31159,,,,,,,
M32721,,,,,,,
M33326,,,,,,,
M33478,,,,,,,
M33653,,,,,,,
M33987,HGNC:1368,Approved,CA1,carbonic anhydrase 1,M33987,,
M34055,,,,,,,
M34455,HGNC:6059,Approved,IDO1,"indoleamine 2,3-dioxygenase 1",M34455,,
M36118,,,,,,,
M36707,,,,,,,
M36769,,,,,,,
M54886,,,,,,,
M55040,,,,,,,
M57731,,,,,,,
